name,family,w_mod_type,match_rule_type,matchgo_type,has_cohs,has_stim2,has_match_rule,has_matchgo,integration,sequence,anti,has_delay,stim_in_decision
poli.go,_Reach,none,none,match,0,0,0,0,0,0,0,0,0
poli.dlygo,_Reach,none,none,match,0,0,0,0,0,0,0,1,0
poli.rtgo,_Reach,none,none,match,0,0,0,0,0,0,0,0,1
poli.antigo,_Reach,none,none,match,0,0,0,0,0,0,1,0,0
poli.ctxgo,_Reach,context_mod1,none,match,0,0,0,0,0,0,0,0,0
poli.dlyantigo,_Reach,none,none,match,0,0,0,0,0,0,1,1,0
poli.rtantigo,_Reach,none,none,match,0,0,0,0,0,0,1,0,1
poli.dlyctxgo,_Reach,context_mod1,none,match,0,0,0,0,0,0,0,1,0
poli.antictxgo,_Reach,context_mod1,none,match,0,0,0,0,0,0,1,0,0
poli.rtctxgo,_Reach,context_mod1,none,match,0,0,0,0,0,0,0,0,1
poli.dlyantictxgo,_Reach,context_mod1,none,match,0,0,0,0,0,0,1,1,0
poli.rtantictxgo,_Reach,context_mod1,none,match,0,0,0,0,0,0,1,0,1
poli.dm1,_DMFamily,none,none,match,1,0,0,0,0,0,0,0,0
poli.dm2,_DMFamily,none,none,match,1,0,0,0,0,0,0,0,0
poli.dlydm1,_DMFamily,none,none,match,1,0,0,0,0,0,0,1,0
poli.dlydm2,_DMFamily,none,none,match,1,0,0,0,0,0,0,1,0
poli.multidm,_DMFamily,multi_sum,none,match,1,0,0,0,0,0,0,0,0
poli.ctxdm1,_DMFamily,context_mod1,none,match,1,0,0,0,0,0,0,0,0
poli.ctxdm2,_DMFamily,context_mod1,none,match,1,0,0,0,0,0,0,0,0
poli.antidm1,_DMFamily,none,none,match,1,0,0,0,0,0,1,0,0
poli.antidm2,_DMFamily,none,none,match,1,0,0,0,0,0,1,0,0
poli.ctxdlydm1,_DMFamily,context_mod1,none,match,1,0,0,0,0,0,0,1,0
poli.ctxdlydm2,_DMFamily,context_mod1,none,match,1,0,0,0,0,0,0,1,0
poli.multidlydm,_DMFamily,multi_sum,none,match,1,0,0,0,0,0,0,1,0
poli.antidlydm1,_DMFamily,none,none,match,1,0,0,0,0,0,1,1,0
poli.antidlydm2,_DMFamily,none,none,match,1,0,0,0,0,0,1,1,0
poli.antictxdm1,_DMFamily,context_mod1,none,match,1,0,0,0,0,0,1,0,0
poli.antictxdm2,_DMFamily,context_mod1,none,match,1,0,0,0,0,0,1,0,0
poli.antimultidm,_DMFamily,multi_sum,none,match,1,0,0,0,0,0,1,0,0
poli.antictxdlydm1,_DMFamily,context_mod1,none,match,1,0,0,0,0,0,1,1,0
poli.antictxdlydm2,_DMFamily,context_mod1,none,match,1,0,0,0,0,0,1,1,0
poli.antimultidlydm,_DMFamily,multi_sum,none,match,1,0,0,0,0,0,1,1,0
poli.dlyms,_DelayMatch1DResponse,none,none,match,0,1,1,1,0,0,0,1,0
poli.antidlyms,_DelayMatch1DResponse,none,none,match,0,1,1,1,0,0,1,1,0
poli.ctxdlyms,_DelayMatch1DResponse,context_mod1,none,match,0,1,1,1,0,0,0,1,0
poli.catdlyms,_DelayMatch1DResponse,none,category,match,0,1,1,1,0,0,0,1,0
poli.dlynms,_DelayMatch1DResponse,none,none,non_match,0,1,1,1,0,0,0,1,0
poli.antictxdlyms,_DelayMatch1DResponse,context_mod1,none,match,0,1,1,1,0,0,1,1,0
poli.anticatdlyms,_DelayMatch1DResponse,none,category,match,0,1,1,1,0,0,1,1,0
poli.ctxcatdlyms,_DelayMatch1DResponse,context_mod1,category,match,0,1,1,1,0,0,0,1,0
poli.catdlynms,_DelayMatch1DResponse,none,category,non_match,0,1,1,1,0,0,0,1,0
poli.antidlynms,_DelayMatch1DResponse,none,none,non_match,0,1,1,1,0,0,1,1,0
poli.ctxdlynms,_DelayMatch1DResponse,context_mod1,none,non_match,0,1,1,1,0,0,0,1,0
poli.antictxcatdlyms,_DelayMatch1DResponse,context_mod1,category,match,0,1,1,1,0,0,1,1,0
poli.antictxdlynms,_DelayMatch1DResponse,context_mod1,none,non_match,0,1,1,1,0,0,1,1,0
poli.anticatdlynms,_DelayMatch1DResponse,none,category,non_match,0,1,1,1,0,0,1,1,0
poli.ctxcatdlynms,_DelayMatch1DResponse,context_mod1,category,non_match,0,1,1,1,0,0,0,1,0
poli.antictxcatdlynms,_DelayMatch1DResponse,context_mod1,category,non_match,0,1,1,1,0,0,1,1,0
