task,family,n_mods,is_heldout,has_dly,has_anti,has_ctx,has_rt,has_multi,has_cat,has_nms,ctx_transported,anti_transported,double_transported,heldout_group
poli.go,reach,0,False,False,False,False,False,False,False,False,False,False,False,
poli.rtgo,reach,1,False,False,False,False,True,False,False,False,False,False,False,
poli.dlygo,reach,1,False,True,False,False,False,False,False,False,False,False,False,
poli.antigo,reach,1,False,False,True,False,False,False,False,False,False,False,False,
poli.ctxgo,reach,1,False,False,False,True,False,False,False,False,False,False,False,
poli.dlyantigo,reach,2,False,True,True,False,False,False,False,False,False,False,False,
poli.dlyctxgo,reach,2,False,True,False,True,False,False,False,False,False,False,False,
poli.antictxgo,reach,2,False,False,True,True,False,False,False,False,False,False,False,
poli.dlyantictxgo,reach,3,False,True,True,True,False,False,False,False,False,False,False,
poli.rtantictxgo,reach,3,False,False,True,True,True,False,False,False,False,False,False,
poli.dm1,decision,0,False,False,False,False,False,False,False,False,False,False,False,
poli.dm2,decision,0,False,False,False,False,False,False,False,False,False,False,False,
poli.dlydm1,decision,1,False,True,False,False,False,False,False,False,False,False,False,
poli.multidm,decision,1,False,False,False,False,False,True,False,False,False,False,False,
poli.antidm1,decision,1,False,False,True,False,False,False,False,False,False,False,False,
poli.antidlydm1,decision,2,False,True,True,False,False,False,False,False,False,False,False,
poli.dlyms,match,1,False,True,False,False,False,False,False,False,False,False,False,
poli.dlynms,match,2,False,True,False,False,False,False,False,True,False,False,False,
poli.catdlyms,match,2,False,True,False,False,False,False,True,False,False,False,False,
poli.catdlynms,match,3,False,True,False,False,False,False,True,True,False,False,False,
poli.ctxdm1,decision,1,True,False,False,True,False,False,False,False,True,False,False,ctx_decision
poli.ctxdm2,decision,1,True,False,False,True,False,False,False,False,True,False,False,ctx_decision
poli.ctxdlydm1,decision,2,True,True,False,True,False,False,False,False,True,False,False,ctx_decision
poli.ctxdlydm2,decision,2,True,True,False,True,False,False,False,False,True,False,False,ctx_decision
poli.antictxdm1,decision,2,True,False,True,True,False,False,False,False,True,False,False,ctx_decision
poli.antictxdm2,decision,2,True,False,True,True,False,False,False,False,True,False,False,ctx_decision
poli.antictxdlydm1,decision,3,True,True,True,True,False,False,False,False,True,False,False,ctx_decision
poli.antictxdlydm2,decision,3,True,True,True,True,False,False,False,False,True,False,False,ctx_decision
poli.antidlyms,match,2,True,True,True,False,False,False,False,False,False,True,False,anti_match
poli.antidlynms,match,3,True,True,True,False,False,False,False,True,False,True,False,anti_match
poli.antictxdlyms,match,3,True,True,True,True,False,False,False,False,True,True,True,double_transport
poli.antictxcatdlyms,match,4,True,True,True,True,False,False,True,False,True,True,True,double_transport
